Time (s), T1, T2, T3
0.0000,147.6889,147.6712,147.6889
2.8856,145.4198,145.3949,145.4198
5.7713,143.1917,143.1618,143.1918
8.6569,141.0033,140.9704,141.0035
11.5425,138.8537,138.8195,138.8541
14.4281,136.7421,136.7082,136.7428
17.3137,134.6680,134.6357,134.6690
20.1994,132.6308,132.6011,132.6322
23.0850,130.6301,130.6038,130.6317
25.9706,128.6651,128.6429,128.6671
28.8562,126.7355,126.7177,126.7377
31.7419,124.8406,124.8275,124.8430
34.6275,122.9797,122.9717,122.9824
37.5131,121.1525,121.1496,121.1553
40.3987,119.3582,119.3606,119.3612
43.2844,117.5964,117.6039,117.5996
46.1700,115.8664,115.8791,115.8697
49.0556,114.1678,114.1855,114.1712
51.9413,112.4999,112.5226,112.5035
54.8269,110.8623,110.8898,110.8659
57.7125,109.2544,109.2865,109.2581
60.5981,107.6757,107.7122,107.6795
63.4837,106.1256,106.1664,106.1295
66.3694,104.6037,104.6486,104.6077
69.2550,103.1096,103.1582,103.1135
72.1406,101.6426,101.6949,101.6466
75.0263,100.2023,100.2580,100.2063
77.9119,98.7882,98.8471,98.7923
80.7975,97.3999,97.4618,97.4040
83.6831,96.0369,96.1017,96.0410
86.5687,94.6988,94.7661,94.7029
89.4544,93.3851,93.4548,93.3892
92.3400,92.0953,92.1673,92.0994
95.2256,90.8291,90.9031,90.8332
98.1113,89.5860,89.6619,89.5901
100.9969,88.3656,88.4432,88.3697
103.8825,87.1676,87.2467,87.1716
106.7681,85.9914,86.0719,85.9954
109.6537,84.8367,84.9184,84.8407
112.5394,83.7031,83.7859,83.7071
115.4250,82.5902,82.6740,82.5942
118.3106,81.4977,81.5824,81.5017
121.1963,80.4252,80.5106,80.4292
124.0819,79.3723,79.4583,79.3762
126.9675,78.3387,78.4251,78.3426
129.8531,77.3240,77.4108,77.3279
132.7387,76.3279,76.4150,76.3317
135.6244,75.3500,75.4373,75.3538
138.5100,74.3900,74.4774,74.3937
141.3956,73.4476,73.5350,73.4513
144.2812,72.5224,72.6098,72.5261
147.1669,71.6142,71.7015,71.6178
150.0525,70.7227,70.8098,70.7262
152.9381,69.8474,69.9343,69.8509
155.8237,68.9882,69.0748,68.9917
158.7094,68.1447,68.2309,68.1482
161.5950,67.3167,67.4025,67.3202
164.4806,66.5039,66.5892,66.5073
167.3663,65.7060,65.7908,65.7093
170.2519,64.9227,65.0069,64.9259
173.1375,64.1537,64.2374,64.1570
176.0231,63.3989,63.4819,63.4020
178.9087,62.6578,62.7402,62.6610
181.7944,61.9304,62.0121,61.9335
184.6800,61.2163,61.2973,61.2194
187.5656,60.5153,60.5956,60.5183
190.4513,59.8271,59.9067,59.8301
193.3369,59.1516,59.2304,59.1545
196.2225,58.4884,58.5664,58.4913
199.1081,57.8374,57.9146,57.8403
201.9938,57.1984,57.2747,57.2012
204.8794,56.5710,56.6465,56.5738
207.7650,55.9552,56.0299,55.9579
210.6506,55.3507,55.4245,55.3534
213.5362,54.7572,54.8301,54.7599
216.4219,54.1746,54.2467,54.1772
219.3075,53.6027,53.6739,53.6053
222.1931,53.0414,53.1116,53.0439
225.0787,52.4903,52.5597,52.4927
227.9644,51.9493,52.0178,51.9517
230.8500,51.4182,51.4858,51.4206
233.7356,50.8969,50.9636,50.8992
236.6213,50.3851,50.4509,50.3874
239.5069,49.8827,49.9476,49.8850
242.3925,49.3895,49.4536,49.3918
245.2781,48.9054,48.9686,48.9077
248.1638,48.4302,48.4924,48.4324
251.0494,47.9637,48.0250,47.9658
253.9350,47.5057,47.5662,47.5078
256.8206,47.0561,47.1158,47.0582
259.7062,46.6148,46.6736,46.6169
262.5919,46.1816,46.2395,46.1836
265.4775,45.7563,45.8133,45.7583
268.3631,45.3388,45.3950,45.3408
271.2487,44.9290,44.9844,44.9310
274.1344,44.5267,44.5812,44.5286
277.0200,44.1318,44.1855,44.1337
279.9056,43.7441,43.7970,43.7460
282.7912,43.3636,43.4156,43.3654
285.6769,42.9900,43.0412,42.9918
288.5625,42.6233,42.6737,42.6250
291.4481,42.2633,42.3129,42.2650
294.3338,41.9099,41.9587,41.9116
297.2194,41.5750,41.6231,41.5767
